location_key,country_code,country_name,year,min_new_confirmed,max_new_confirmed,avg_new_confirmed,median_new_confirmed,min_new_deceased,max_new_deceased,avg_new_deceased,median_new_deceased,min_new_recovered,max_new_recovered,avg_new_recovered,median_new_recovered,min_new_tested,max_new_tested,avg_new_tested,median_new_tested,min_new_persons_vaccinated,max_new_persons_vaccinated,avg_new_persons_vaccinated,median_new_persons_vaccinated,min_new_persons_fully_vaccinated,max_new_persons_fully_vaccinated,avg_new_persons_fully_vaccinated,median_new_persons_fully_vaccinated,min_new_persons_vaccinated_pfizer,max_new_persons_vaccinated_pfizer,avg_new_persons_vaccinated_pfizer,median_new_persons_vaccinated_pfizer,min_new_persons_fully_vaccinated_pfizer,max_new_persons_fully_vaccinated_pfizer,avg_new_persons_fully_vaccinated_pfizer,median_new_persons_fully_vaccinated_pfizer,min_new_persons_vaccinated_moderna,max_new_persons_vaccinated_moderna,avg_new_persons_vaccinated_moderna,median_new_persons_vaccinated_moderna,min_new_persons_fully_vaccinated_moderna,max_new_persons_fully_vaccinated_moderna,avg_new_persons_fully_vaccinated_moderna,median_new_persons_fully_vaccinated_moderna,min_new_persons_vaccinated_janssen,max_new_persons_vaccinated_janssen,avg_new_persons_vaccinated_janssen,median_new_persons_vaccinated_janssen,min_new_persons_fully_vaccinated_janssen,max_new_persons_fully_vaccinated_janssen,avg_new_persons_fully_vaccinated_janssen,median_new_persons_fully_vaccinated_janssen,min_new_persons_vaccinated_sinovac,max_new_persons_vaccinated_sinovac,avg_new_persons_vaccinated_sinovac,median_new_persons_vaccinated_sinovac,min_new_persons_fully_vaccinated_sinovac,max_new_persons_fully_vaccinated_sinovac,avg_new_persons_fully_vaccinated_sinovac,median_new_persons_fully_vaccinated_sinovac
AD,AD,Andorra,2021,0.0,621.0,75.33333333333333,30.0,0.0,1.0,0.1388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11952.0,1569.6944444444443,574.5,0.0,8182.0,1395.0,144.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AD,AD,Andorra,2022,0.0,693.0,57.72222222222222,0.0,0.0,2.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558.0,44.888888888888886,7.0,1.0,1654.0,115.88888888888889,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AE,AE,United Arab Emirates,2021,58.0,3977.0,1577.298076923077,1606.5,0.0,20.0,4.4006410256410255,3.0,0.0,0.0,0.0,0.0,103918.0,387672.0,245066.1185897436,242633.0,0.0,2643847.0,28990.02564102564,0.0,0.0,2493428.0,28235.766025641027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AE,AE,United Arab Emirates,2022,244.0,3116.0,1582.90625,1547.0,0.0,5.0,1.765625,1.0,0.0,0.0,0.0,0.0,151541.0,563330.0,406682.921875,427610.0,0.0,100594.0,1713.015625,0.0,0.0,108549.0,11448.546875,9739.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF,AF,Afghanistan,2021,14.0,1940.0,737.7931034482758,764.0,0.0,89.0,30.17241379310345,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2701572.0,142857.1379310345,8200.0,0.0,2757865.0,127503.44827586207,2657.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AF,AF,Afghanistan,2022,0.0,970.0,175.41860465116278,101.0,0.0,12.0,1.5116279069767442,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1771728.0,155449.46511627908,45686.0,0.0,1701359.0,147727.3488372093,47551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AG,AG,Antigua and Barbuda,2021,0.0,140.0,11.085365853658537,0.5,0.0,2.0,0.17073170731707318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24164.0,759.5487804878048,257.5,0.0,4469.0,686.3658536585366,392.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AG,AG,Antigua and Barbuda,2022,0.0,419.0,43.0,3.0,0.0,4.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.0,150.66666666666666,93.0,0.0,886.0,264.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AI,AI,Anguilla,2021,0.0,93.0,6.382352941176471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2696.0,296.44117647058823,57.0,0.0,3641.0,248.23529411764707,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AI,AI,Anguilla,2022,0.0,22.0,1.2916666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,31.958333333333332,23.5,0.0,250.0,45.458333333333336,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,AL,Albania,2021,1.0,1153.0,358.2511013215859,292.0,0.0,20.0,4.634361233480176,4.0,0.0,0.0,0.0,0.0,0.0,7733.0,3247.3392070484583,3046.0,0.0,434848.0,5028.57268722467,2484.0,0.0,180931.0,4542.42731277533,3399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,AL,Albania,2022,0.0,2177.0,404.725,108.0,0.0,9.0,2.3,1.0,0.0,0.0,0.0,0.0,0.0,8136.0,1110.95,0.0,444.0,40632.0,4854.2,1987.5,960.0,45231.0,5752.775,2640.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AM,AM,Armenia,2021,73.0,1517.0,471.6363636363636,357.0,0.0,62.0,18.21212121212121,11.0,0.0,0.0,0.0,0.0,2678.0,12933.0,6080.909090909091,5932.0,0.0,90588.0,28286.757575757576,18931.0,0.0,80128.0,20615.090909090908,12408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AM,AM,Armenia,2022,3.0,3127.0,647.0,166.5,0.0,17.0,4.75,3.0,0.0,0.0,0.0,0.0,1503.0,7890.0,4207.0,4056.0,0.0,32358.0,12227.5625,10077.0,0.0,44360.0,18357.8125,21678.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AO,AO,Angola,2021,0.0,1859.0,170.52,127.5,0.0,18.0,4.04,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,736303.0,153708.34,58049.5,0.0,371040.0,77790.64,35218.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AO,AO,Angola,2022,0.0,1150.0,146.60714285714286,17.0,0.0,17.0,1.4285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989172.0,233407.60714285713,187635.0,0.0,315963.0,138728.35714285713,153718.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,AR,Argentina,2020,8571.0,13455.0,11685.666666666666,13031.0,125.0,129.0,126.66666666666667,126.0,0.0,0.0,0.0,0.0,28795.0,44966.0,38333.0,41238.0,1230.0,8793.0,6265.666666666667,8774.0,0.0,4.0,2.3333333333333335,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,AR,Argentina,2021,333.0,64004.0,11252.682191780821,7890.0,4.0,656.0,195.17808219178082,145.0,0.0,0.0,0.0,0.0,8172.0,164098.0,46819.005479452055,42356.0,3.0,156327.0,45572.88493150685,31342.0,0.0,176754.0,39123.024657534246,23190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AR,AR,Argentina,2022,0.0,174174.0,15236.38671875,1531.0,0.0,353.0,47.71484375,6.0,0.0,0.0,0.0,0.0,0.0,253506.0,26685.13671875,10418.0,0.0,41071.0,4400.703125,1616.0,0.0,52392.0,7963.53125,4243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,AT,Austria,2020,1696.0,2964.0,2294.0,2107.0,64.0,89.0,77.4,78.0,1926.0,2134.0,2034.8,2055.0,9909.0,26789.0,17918.4,16085.0,0.0,1676.0,886.2,1335.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,AT,Austria,2021,66.0,16440.0,2506.460273972603,1691.0,0.0,80.0,25.202739726027396,23.0,71.0,13992.0,2454.5890410958905,1729.0,-76893.0,2945871.0,328061.06575342466,316974.0,11.0,87570.0,18087.594520547944,11596.0,0.0,90742.0,17204.90684931507,9725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,AT,Austria,2022,1733.0,63512.0,14560.51953125,8705.0,0.0,51.0,14.9765625,12.0,1860.0,53388.0,14515.40625,8786.0,15674.0,1735543.0,284656.19921875,160665.0,4.0,7241.0,714.96484375,156.5,0.0,17168.0,1010.70703125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AU,AU,Australia,2020,0.0,746.0,87.00584795321637,19.0,0.0,59.0,2.6578947368421053,0.0,0.0,2517.0,75.32748538011695,19.0,0.0,136194.0,32933.27777777778,31740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AU,AU,Australia,2021,1.0,32946.0,1018.482191780822,41.0,0.0,27.0,3.643835616438356,0.0,0.0,69419.0,620.9150684931507,13.0,24028.0,392081.0,119721.69315068494,98843.0,-190264.0,239650.0,62583.202739726024,54006.0,-7876.0,255339.0,54125.58082191781,22437.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AU,AU,Australia,2022,1364.0,150702.0,37917.903474903476,35198.0,0.0,347.0,47.76447876447877,42.0,-10016828.0,9967355.0,-974.5019305019305,32783.0,-5147672.0,5264347.0,91457.37837837837,85432.0,-1244.0,336346.0,72092.1583011583,48294.0,0.0,40193.0,7762.173745173745,3234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AW,AW,Aruba,2021,-53.0,698.0,31.863849765258216,14.0,0.0,7.0,0.3427230046948357,0.0,0.0,0.0,0.0,0.0,0.0,428.0,3.723004694835681,0.0,0.0,13597.0,324.6525821596244,105.0,0.0,3839.0,323.2018779342723,148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AW,AW,Aruba,2022,0.0,1674.0,100.94318181818181,0.0,0.0,13.0,0.23295454545454544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,502.0,28.369318181818183,20.0,0.0,98.0,25.676136363636363,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
