location_key,YEAR,country_code,country_name,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,new_persons_vaccinated_pfizer,cumulative_persons_vaccinated_pfizer,new_persons_fully_vaccinated_pfizer,cumulative_persons_fully_vaccinated_pfizer,new_vaccine_doses_administered_pfizer,cumulative_vaccine_doses_administered_pfizer,new_persons_vaccinated_moderna,cumulative_persons_vaccinated_moderna,new_persons_fully_vaccinated_moderna,cumulative_persons_fully_vaccinated_moderna,new_vaccine_doses_administered_moderna,cumulative_vaccine_doses_administered_moderna,new_persons_vaccinated_janssen,cumulative_persons_vaccinated_janssen,new_persons_fully_vaccinated_janssen,cumulative_persons_fully_vaccinated_janssen,new_vaccine_doses_administered_janssen,cumulative_vaccine_doses_administered_janssen,new_persons_vaccinated_sinovac,total_persons_vaccinated_sinovac,new_persons_fully_vaccinated_sinovac,total_persons_fully_vaccinated_sinovac,new_vaccine_doses_administered_sinovac,total_vaccine_doses_administered_sinovac,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older
0,2020,0,Namibia,0.0,24536.0,208.0,0.0,199795.0,24536.0,208.0,0.0,209155.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2021,0,Namibia,0.0,124942.0,3447.0,0.0,599977.0,149478.0,3655.0,0.0,872058.0,346454.0,346454.0,283630.0,283758.0,630212.0,630212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
0,2022,0,Namibia,0.0,17167.0,422.0,0.0,47299.0,166645.0,4077.0,0.0,1056045.0,240198.0,586652.0,230397.0,514155.0,317061.0,947273.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
AD,2020,AD,Andorra,0.0,8117.0,84.0,0.0,0.0,8117.0,84.0,0.0,124804.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77265.0,58625.0,55581.0,9269.0,67873.0,2159137.0,3137690.0,164.394,0.858,9370.0,12022.0,10727.0,12394.0,21001.0,20720.0,14433.0,8657.0,4881.0
AD,2021,AD,Andorra,0.0,15623.0,56.0,0.0,0.0,23740.0,140.0,0.0,266810.0,56509.0,57085.0,50220.0,51392.0,116670.0,117246.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77265.0,58625.0,55581.0,9269.0,67873.0,2159137.0,3137690.0,164.394,0.858,9370.0,12022.0,10727.0,12394.0,21001.0,20720.0,14433.0,8657.0,4881.0
AD,2022,AD,Andorra,0.0,22407.0,15.0,0.0,0.0,46147.0,155.0,0.0,300307.0,808.0,57893.0,2086.0,53478.0,36949.0,154195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77265.0,58625.0,55581.0,9269.0,67873.0,2159137.0,3137690.0,164.394,0.858,9370.0,12022.0,10727.0,12394.0,21001.0,20720.0,14433.0,8657.0,4881.0
AE,2020,AE,United Arab Emirates,0.0,209678.0,671.0,0.0,21035504.0,209678.0,671.0,0.0,21035504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9890400.0,6836349.0,3054051.0,1290785.0,8479744.0,2833079.0,5914068.0,118.306,0.863,1011713.0,842991.0,2149343.0,3169314.0,1608109.0,797913.0,242707.0,55884.0,12426.0
AE,2021,AE,United Arab Emirates,0.0,554815.0,1494.0,0.0,91095231.0,764493.0,2165.0,0.0,112130735.0,9044888.0,9881456.0,8809559.0,9059559.0,21580283.0,22406584.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9890400.0,6836349.0,3054051.0,1290785.0,8479744.0,2833079.0,5914068.0,118.306,0.863,1011713.0,842991.0,2149343.0,3169314.0,1608109.0,797913.0,242707.0,55884.0,12426.0
AE,2022,AE,United Arab Emirates,0.0,256698.0,177.0,0.0,56391937.0,1021191.0,2342.0,0.0,168522672.0,109633.0,9991089.0,732707.0,9792266.0,2515470.0,24922054.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9890400.0,6836349.0,3054051.0,1290785.0,8479744.0,2833079.0,5914068.0,118.306,0.863,1011713.0,842991.0,2149343.0,3169314.0,1608109.0,797913.0,242707.0,55884.0,12426.0
AF,2020,AF,Afghanistan,0.0,52586.0,2211.0,0.0,0.0,52586.0,2211.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38928341.0,19976265.0,18952076.0,28244481.0,9797273.0,4114030.0,4114030.0,59.627,0.498,11088732.0,9821559.0,7035871.0,4534646.0,2963459.0,1840198.0,1057496.0,480455.0,105925.0
AF,2021,AF,Afghanistan,0.0,105526.0,5145.0,0.0,0.0,158112.0,7356.0,0.0,0.0,4142857.0,4142857.0,3697600.0,3753224.0,4674518.0,4674518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38928341.0,19976265.0,18952076.0,28244481.0,9797273.0,4114030.0,4114030.0,59.627,0.498,11088732.0,9821559.0,7035871.0,4534646.0,2963459.0,1840198.0,1057496.0,480455.0,105925.0
AF,2022,AF,Afghanistan,0.0,38551.0,435.0,0.0,0.0,196663.0,7791.0,0.0,994894.0,6684327.0,10827184.0,6352276.0,10105500.0,7060117.0,11734635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38928341.0,19976265.0,18952076.0,28244481.0,9797273.0,4114030.0,4114030.0,59.627,0.498,11088732.0,9821559.0,7035871.0,4534646.0,2963459.0,1840198.0,1057496.0,480455.0,105925.0
AG,2020,AG,Antigua and Barbuda,0.0,159.0,5.0,0.0,0.0,159.0,5.0,0.0,5784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97928.0,47269.0,50659.0,73318.0,23800.0,2159137.0,3137690.0,222.564,0.78,14583.0,13867.0,14894.0,14094.0,13860.0,12832.0,8043.0,4101.0,1654.0
AG,2021,AG,Antigua and Barbuda,0.0,4252.0,114.0,0.0,0.0,4411.0,119.0,0.0,16700.0,62283.0,62283.0,56282.0,58863.0,121146.0,121146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97928.0,47269.0,50659.0,73318.0,23800.0,2159137.0,3137690.0,222.564,0.78,14583.0,13867.0,14894.0,14094.0,13860.0,12832.0,8043.0,4101.0,1654.0
AG,2022,AG,Antigua and Barbuda,0.0,4597.0,26.0,0.0,0.0,9008.0,145.0,0.0,0.0,1808.0,64091.0,3168.0,62031.0,7121.0,128267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97928.0,47269.0,50659.0,73318.0,23800.0,2159137.0,3137690.0,222.564,0.78,14583.0,13867.0,14894.0,14094.0,13860.0,12832.0,8043.0,4101.0,1654.0
AI,2020,AI,Anguilla,0.0,14.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15002.0,7151.0,7971.0,1758851.0,3850231.0,2159137.0,3137690.0,166.689,0.735,2196.0,2146.0,2005.0,2081.0,2187.0,2214.0,1351.0,641.0,301.0
AI,2021,AI,Anguilla,0.0,1660.0,5.0,0.0,0.0,1674.0,5.0,0.0,51382.0,10079.0,10079.0,8440.0,9223.0,20284.0,20284.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15002.0,7151.0,7971.0,1758851.0,3850231.0,2159137.0,3137690.0,166.689,0.735,2196.0,2146.0,2005.0,2081.0,2187.0,2214.0,1351.0,641.0,301.0
AI,2022,AI,Anguilla,0.0,2182.0,7.0,0.0,0.0,3856.0,12.0,0.0,0.0,767.0,10846.0,1091.0,10314.0,3818.0,24102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15002.0,7151.0,7971.0,1758851.0,3850231.0,2159137.0,3137690.0,166.689,0.735,2196.0,2146.0,2005.0,2081.0,2187.0,2214.0,1351.0,641.0,301.0
AL,2020,AL,Albania,0.0,58723.0,1186.0,0.0,249384.0,58723.0,1186.0,0.0,249384.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2862427.0,1429594.0,1432833.0,1106598.0,1747593.0,484624.0,3137690.0,99.6,0.764,319074.0,381542.0,474360.0,366807.0,339697.0,398271.0,315510.0,190753.0,52224.0
AL,2021,AL,Albania,0.0,151983.0,2032.0,0.0,1177050.0,210706.0,3218.0,0.0,1426434.0,1141486.0,1141486.0,1031131.0,1031132.0,2316606.0,2316606.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2862427.0,1429594.0,1432833.0,1106598.0,1747593.0,484624.0,3137690.0,99.6,0.764,319074.0,381542.0,474360.0,366807.0,339697.0,398271.0,315510.0,190753.0,52224.0
AL,2022,AL,Albania,0.0,119443.0,368.0,0.0,187436.0,330149.0,3586.0,0.0,1613870.0,194168.0,1335654.0,230111.0,1261243.0,649650.0,2966256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2862427.0,1429594.0,1432833.0,1106598.0,1747593.0,484624.0,3137690.0,99.6,0.764,319074.0,381542.0,474360.0,366807.0,339697.0,398271.0,315510.0,190753.0,52224.0
AM,2020,AM,Armenia,0.0,159798.0,2836.0,0.0,596416.0,159798.0,2836.0,0.0,596416.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2963234.0,1393747.0,1569487.0,1087883.0,1869848.0,1083323.0,1083323.0,104.083,0.743,418859.0,368930.0,408924.0,503953.0,353088.0,362653.0,328402.0,126743.0,91682.0
AM,2021,AM,Armenia,0.0,185209.0,5141.0,0.0,1979372.0,345007.0,7977.0,0.0,2575788.0,933463.0,934028.0,680298.0,692082.0,1626173.0,1626738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2963234.0,1393747.0,1569487.0,1087883.0,1869848.0,1083323.0,1083323.0,104.083,0.743,418859.0,368930.0,408924.0,503953.0,353088.0,362653.0,328402.0,126743.0,91682.0
AM,2022,AM,Armenia,0.0,94295.0,692.0,0.0,526479.0,439302.0,8669.0,0.0,3102267.0,195641.0,1129669.0,293725.0,985807.0,523374.0,2150112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2963234.0,1393747.0,1569487.0,1087883.0,1869848.0,1083323.0,1083323.0,104.083,0.743,418859.0,368930.0,408924.0,503953.0,353088.0,362653.0,328402.0,126743.0,91682.0
AO,2020,AO,Angola,0.0,17568.0,405.0,0.0,0.0,17568.0,405.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32866267.0,16260870.0,16605398.0,10764270.0,21061025.0,8044735.0,8044735.0,26.363,0.581,10899168.0,7881779.0,5306037.0,3699729.0,2412735.0,1464602.0,785897.0,331729.0,84592.0
AO,2021,AO,Angola,0.0,64830.0,1367.0,0.0,0.0,82398.0,1772.0,0.0,0.0,7685417.0,7685417.0,3889532.0,3929727.0,11615144.0,11615144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32866267.0,16260870.0,16605398.0,10764270.0,21061025.0,8044735.0,8044735.0,26.363,0.581,10899168.0,7881779.0,5306037.0,3699729.0,2412735.0,1464602.0,785897.0,331729.0,84592.0
AO,2022,AO,Angola,0.0,20733.0,145.0,0.0,28136.0,103131.0,1917.0,0.0,1618566.0,6535413.0,14220830.0,3884394.0,7814121.0,10681960.0,22297104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32866267.0,16260870.0,16605398.0,10764270.0,21061025.0,8044735.0,8044735.0,26.363,0.581,10899168.0,7881779.0,5306037.0,3699729.0,2412735.0,1464602.0,785897.0,331729.0,84592.0
AR,2019,AR,Argentina,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44938712.0,19523766.0,20593330.0,3599141.0,41339571.0,15057273.0,19280518.0,16.515,0.825,6718871.0,7045513.0,6430658.0,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0
AR,2020,AR,Argentina,0.0,1660182.0,46382.0,0.0,4330503.0,1660182.0,46382.0,0.0,4330433.0,18797.0,18797.0,7.0,7.0,18804.0,18804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44938712.0,19523766.0,20593330.0,3599141.0,41339571.0,15057273.0,19280518.0,16.515,0.825,6718871.0,7045513.0,6430658.0,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0
AR,2021,AR,Argentina,0.0,4107229.0,71240.0,0.0,17088937.0,5767411.0,117622.0,0.0,21419370.0,16634103.0,16652900.0,14279904.0,14279911.0,30914007.0,30932811.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44938712.0,19523766.0,20593330.0,3599141.0,41339571.0,15057273.0,19280518.0,16.515,0.825,6718871.0,7045513.0,6430658.0,5777148.0,4507125.0,3911943.0,2914251.0,1817557.0,994030.0
