location_key,X1_hospital_beds,X2_physicians,X3_ghs_early_detection,X4_testing_rate,X5_ghs_index,X6_internet_users,X7_age_60_plus,X8_smoking,X9_diabetes,Y_is_ready
AD,2.3,3.3333,0.0,0.0,34.7,93.8975,36.20138484436679,,,0
AE,2.3,2.5278,66.7,9210.46984955108,39.6,100.0,3.144635201811858,,,1
AF,0.5,0.2782,33.3,0.0,28.8,16.5143,4.222825729973954,,,1
AG,2.3,2.956,33.3,0.0,36.65,75.44895,14.089943632056205,,,0
AI,2.3,1.57655,33.3,0.0,36.65,75.44895,15.284628716171177,,,0
AL,2.3,1.2164,16.7,411.2069932263775,45.0,79.3237,19.510960454188,,,1
AM,4.2,4.4023,66.7,667.9769468087907,61.8,78.6123,18.453723195670676,,,0
AO,2.3,0.2146,16.7,0.0,29.1,39.3876,3.6579085784217598,,,1
AR,2.3,3.9901,66.7,380.27206921284255,54.4,87.1507,12.741437716327964,,,0
AS,2.3,1.57655,33.3,0.0,36.65,75.44895,1036.6650361432687,,,0
AT,2.3,5.1697,100.0,13516.79989614817,56.9,92.5292,24.967334648413576,,,0
AU,2.3,3.6778,100.0,1713.6714481138167,71.1,96.9722,21.775921228808873,,,0
AW,2.3,1.57655,33.3,7.427458179570275,36.65,75.44895,21.82249030590263,,,0
AZ,2.3,1.57655,16.7,149.00452946122343,34.7,86.0,11.639240865257774,,,1
BA,2.3,2.1616,33.3,189.220971008728,36.65,75.44895,25.29100238812612,,,0
BB,2.3,2.4843,33.3,0.0,34.9,77.8697,23.153345327120693,,,0
BD,0.8,0.5809,33.3,50.20068597864624,35.5,38.9174,7.959658213061616,,,1
BE,2.3,3.0709,66.7,1782.7078808040037,59.3,92.7887,25.104598054439958,,,0
BF,2.3,0.0847,0.0,0.0,29.8,12.5631,3.9267812445492996,,,1
BG,2.3,4.0332,33.3,280.3370095509468,59.9,75.2714,28.194357202867014,,,0
BH,2.3,0.9257,33.3,2182.5888011340026,36.3,100.0,5.30317945113462,,,1
BI,2.3,0.1001,16.7,0.0,22.1,10.9847,4.072970480240112,,,1
BJ,2.3,0.0791,0.0,0.0,25.4,28.2047,5.081480975564368,,,1
BM,2.3,1.57655,33.3,0.0,36.65,75.44895,29.664541615146213,,,0
BN,2.7,1.609,16.7,1.3280516042909096,43.5,97.6288,9.498883385182967,,,1
BO,2.3,1.5901,16.7,228.65127808728997,29.9,65.9774,10.367300552410176,,,0
BR,2.3,2.1643,66.7,124.08334744664256,51.2,80.6899,14.046632958035746,,,0
BS,2.3,2.0068,0.0,57.40652209292864,30.1,94.3479,12.220278297664578,,,0
BT,2.3,0.4242,33.3,1300.994541297958,39.8,85.6369,8.965386748780475,,,1
BW,2.3,0.5269,0.0,0.0,33.6,78.738,7.024546855897517,,,1
BY,2.3,5.1905,50.0,57.37618607728534,43.9,86.8884,22.61809076017208,,,1
BZ,2.3,1.1229,16.7,7.353736346923326,29.7,70.6537,7.636166097867064,,,0
CA,2.3,2.6102,50.0,918.3542424456556,69.8,93.9371,24.894017053662303,,,0
CD,2.3,0.074,33.3,0.0,36.65,75.44895,4.678327731441102,,,1
CF,2.3,0.0721,16.7,0.0,18.6,0.0,4.474276589912054,,,1
CG,2.3,1.57655,33.3,0.0,36.65,75.44895,4.525966584101896,,,1
CH,2.3,4.2957,100.0,1297.9566920439247,58.8,95.5694,24.35278161096571,,,0
CI,2.3,1.57655,33.3,32.66445588272925,36.65,75.44895,4.682429006445645,,,1
CK,2.3,1.57655,33.3,0.0,36.65,75.44895,19.9442040537463,,,1
CL,2.3,2.5912,66.7,1177.3216381037378,56.2,90.2328,18.90652914990398,,,0
CM,2.3,1.57655,33.3,0.0,28.6,42.0405,4.29984121066845,,,1
CN,2.3,1.9798,66.7,0.0,47.5,73.0532,17.353726625792536,,,1
CO,2.3,2.1848,66.7,422.4953719211357,53.2,73.0284,13.161058245047588,,,0
CR,1.2,2.8939,33.3,361.2068752289407,40.8,82.749,15.04895650156239,,,0
CU,2.3,8.4218,16.7,335.0296328576867,30.5,67.6435,21.25241113497624,,,1
CV,2.3,0.7814,33.3,310.7063461801334,36.65,75.44895,7.558796233012223,,,1
CW,2.3,1.57655,33.3,8.17794028031688,36.65,75.44895,24.513711151736743,,,0
CY,2.3,1.9509,50.0,21007.32276209928,41.9,90.7595,21.632402822699877,,,0
CZ,6.5,4.1208,33.3,1123.412364551447,36.65,75.44895,25.968346823414524,,,0
DE,2.3,4.2488,66.7,0.0,65.5,91.4306,28.159079272408903,,,0
DK,2.5,4.0099,66.7,7418.239945326288,64.4,98.8659,25.46869394347065,,,0
DM,2.3,1.1189,0.0,0.0,26.4,82.6979,4.051895375810865,,,0
DO,2.3,1.56,16.7,35.98897999097337,34.5,85.243,11.109593152741764,,,1
DZ,1.9,1.7193,16.7,0.0,26.2,72.2124,9.90667656411274,,,1
EC,2.3,2.0368,66.7,75.83984864303585,50.8,69.1148,11.001147193287332,,,1
EE,5.0,4.4833,33.3,1426.650412886279,55.5,90.9797,26.188765266224845,,,0
EG,2.3,0.4521,33.3,0.0,28.0,72.056,8.225443988762997,,,1
ER,2.3,0.0628,0.0,0.0,21.4,18.3844,6.435773244451387,,,1
ES,2.3,3.8723,66.7,0.0,60.9,93.8975,25.380697044084144,,,0
ET,0.3,0.0769,50.0,14.97403747411039,37.8,16.6981,5.325511644848438,,,1
FI,4.4,3.8118,50.0,1132.8946655432962,70.9,92.8081,28.405600009713805,,,0
FJ,2.3,0.86,16.7,429.5059144798783,25.8,74.4958,9.628041461597155,,,0
FM,2.3,1.57655,33.3,0.0,36.65,75.44895,7.84552386086019,,,0
FO,2.3,1.57655,33.3,0.0,36.65,75.44895,25.441522562161055,,,0
FR,2.3,3.2672,100.0,2390.0533871972048,61.9,86.0955,26.1917682305953,,,0
GA,2.3,0.6819,33.3,41.21348161140984,21.8,68.6436,5.353619130459786,,,1
GB,2.3,2.8117,100.0,4969.420010277415,67.2,96.1965,23.990371855872763,,,0
GD,2.3,1.4067,0.0,0.0,26.7,70.5594,14.873932402527574,,,0
