location_key,YEAR,country_code,country_name,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,X4
0,2020,0,Namibia,0,24536.0,208.0,0.0,199795.0,24536.0,208.0,0.0,209155.0,,,,,,,,,,,,,,,,,,,0.0
0,2021,0,Namibia,0,124942.0,3447.0,0.0,599977.0,149478.0,3655.0,0.0,872058.0,,,,,,,,,,,,,,,,,,,0.0
0,2022,0,Namibia,0,17167.0,422.0,0.0,47299.0,166645.0,4077.0,0.0,1056045.0,,,,,,,,,,,,,,,,,,,0.0
AD,2020,AD,Andorra,0,8117.0,84.0,0.0,0.0,8117.0,84.0,0.0,124804.0,77265.0,58625.0,55581.0,9269.0,67873.0,2159137.0,3137690.0,164.394,0.858,9370.0,12022.0,10727.0,12394.0,21001.0,20720.0,14433.0,8657.0,4881.0,0.0
AD,2021,AD,Andorra,0,15623.0,56.0,0.0,0.0,23740.0,140.0,0.0,266810.0,77265.0,58625.0,55581.0,9269.0,67873.0,2159137.0,3137690.0,164.394,0.858,9370.0,12022.0,10727.0,12394.0,21001.0,20720.0,14433.0,8657.0,4881.0,0.0
AD,2022,AD,Andorra,0,22407.0,15.0,0.0,0.0,46147.0,155.0,0.0,300307.0,77265.0,58625.0,55581.0,9269.0,67873.0,2159137.0,3137690.0,164.394,0.858,9370.0,12022.0,10727.0,12394.0,21001.0,20720.0,14433.0,8657.0,4881.0,0.0
AE,2020,AE,United Arab Emirates,0,209678.0,671.0,0.0,21035504.0,209678.0,671.0,0.0,21035504.0,9890400.0,6836349.0,3054051.0,1290785.0,8479744.0,2833079.0,5914068.0,118.306,0.863,1011713.0,842991.0,2149343.0,3169314.0,1608109.0,797913.0,242707.0,55884.0,12426.0,2126.860794305589
AE,2021,AE,United Arab Emirates,0,554815.0,1494.0,0.0,91095231.0,764493.0,2165.0,0.0,112130735.0,9890400.0,6836349.0,3054051.0,1290785.0,8479744.0,2833079.0,5914068.0,118.306,0.863,1011713.0,842991.0,2149343.0,3169314.0,1608109.0,797913.0,242707.0,55884.0,12426.0,9210.46984955108
AE,2022,AE,United Arab Emirates,0,256698.0,177.0,0.0,56391937.0,1021191.0,2342.0,0.0,168522672.0,9890400.0,6836349.0,3054051.0,1290785.0,8479744.0,2833079.0,5914068.0,118.306,0.863,1011713.0,842991.0,2149343.0,3169314.0,1608109.0,797913.0,242707.0,55884.0,12426.0,5701.684158375799
AF,2020,AF,Afghanistan,0,52586.0,2211.0,0.0,0.0,52586.0,2211.0,0.0,0.0,38928341.0,19976265.0,18952076.0,28244481.0,9797273.0,4114030.0,4114030.0,59.627,0.498,11088732.0,9821559.0,7035871.0,4534646.0,2963459.0,1840198.0,1057496.0,480455.0,105925.0,0.0
AF,2021,AF,Afghanistan,0,105526.0,5145.0,0.0,0.0,158112.0,7356.0,0.0,0.0,38928341.0,19976265.0,18952076.0,28244481.0,9797273.0,4114030.0,4114030.0,59.627,0.498,11088732.0,9821559.0,7035871.0,4534646.0,2963459.0,1840198.0,1057496.0,480455.0,105925.0,0.0
AF,2022,AF,Afghanistan,0,38551.0,435.0,0.0,0.0,196663.0,7791.0,0.0,994894.0,38928341.0,19976265.0,18952076.0,28244481.0,9797273.0,4114030.0,4114030.0,59.627,0.498,11088732.0,9821559.0,7035871.0,4534646.0,2963459.0,1840198.0,1057496.0,480455.0,105925.0,0.0
AG,2020,AG,Antigua and Barbuda,0,159.0,5.0,0.0,0.0,159.0,5.0,0.0,5784.0,97928.0,47269.0,50659.0,73318.0,23800.0,2159137.0,3137690.0,222.564,0.78,14583.0,13867.0,14894.0,14094.0,13860.0,12832.0,8043.0,4101.0,1654.0,0.0
AG,2021,AG,Antigua and Barbuda,0,4252.0,114.0,0.0,0.0,4411.0,119.0,0.0,16700.0,97928.0,47269.0,50659.0,73318.0,23800.0,2159137.0,3137690.0,222.564,0.78,14583.0,13867.0,14894.0,14094.0,13860.0,12832.0,8043.0,4101.0,1654.0,0.0
AG,2022,AG,Antigua and Barbuda,0,4597.0,26.0,0.0,0.0,9008.0,145.0,0.0,0.0,97928.0,47269.0,50659.0,73318.0,23800.0,2159137.0,3137690.0,222.564,0.78,14583.0,13867.0,14894.0,14094.0,13860.0,12832.0,8043.0,4101.0,1654.0,0.0
