location_key,country_code,country_name,subregion1_code,subregion1_name,subregion2_code,subregion2_name,aggregation_level
AD,AD,Andorra,,,,,0
AE,AE,United Arab Emirates,,,,,0
AF,AF,Afghanistan,,,,,0
AF_BAL,AF,Afghanistan,BAL,Balkh,,,1
AF_BAM,AF,Afghanistan,BAM,Bamyan,,,1
AF_BDG,AF,Afghanistan,BDG,Badghis,,,1
AF_BDS,AF,Afghanistan,BDS,Badakhshan,,,1
AF_BGL,AF,Afghanistan,BGL,Baghlan,,,1
AF_DAY,AF,Afghanistan,DAY,Daykundi,,,1
AF_FRA,AF,Afghanistan,FRA,Farah,,,1
AF_FYB,AF,Afghanistan,FYB,Faryab,,,1
AF_GHA,AF,Afghanistan,GHA,Ghazni,,,1
AF_GHO,AF,Afghanistan,GHO,Ghor,,,1
AF_HEL,AF,Afghanistan,HEL,Helmand,,,1
AF_HER,AF,Afghanistan,HER,Herat,,,1
AF_JOW,AF,Afghanistan,JOW,Jowzjan,,,1
AF_KAB,AF,Afghanistan,KAB,Kabul,,,1
AF_KAN,AF,Afghanistan,KAN,Kandahar,,,1
AF_KAP,AF,Afghanistan,KAP,Kapisa,,,1
AF_KDZ,AF,Afghanistan,KDZ,Kunduz,,,1
AF_KHO,AF,Afghanistan,KHO,Khost,,,1
AF_KNR,AF,Afghanistan,KNR,Kunar,,,1
AF_LAG,AF,Afghanistan,LAG,Laghman,,,1
AF_LOG,AF,Afghanistan,LOG,Logar,,,1
AF_NAN,AF,Afghanistan,NAN,Nangarhar,,,1
AF_NIM,AF,Afghanistan,NIM,Nimruz,,,1
AF_NUR,AF,Afghanistan,NUR,Nuristan,,,1
AF_PAN,AF,Afghanistan,PAN,Panjshir,,,1
AF_PAR,AF,Afghanistan,PAR,Parwan,,,1
AF_PIA,AF,Afghanistan,PIA,Paktia,,,1
AF_PKA,AF,Afghanistan,PKA,Paktika,,,1
AF_SAM,AF,Afghanistan,SAM,Samangan,,,1
AF_SAR,AF,Afghanistan,SAR,Sar-e Pol,,,1
AF_TAK,AF,Afghanistan,TAK,Takhar,,,1
AF_URU,AF,Afghanistan,URU,Urozgan,,,1
AF_WAR,AF,Afghanistan,WAR,Maidan Wardak,,,1
AF_ZAB,AF,Afghanistan,ZAB,Zabul,,,1
AG,AG,Antigua and Barbuda,,,,,0
AI,AI,Anguilla,,,,,0
AL,AL,Albania,,,,,0
AM,AM,Armenia,,,,,0
AN,AN,Netherlands Antilles,,,,,0
AO,AO,Angola,,,,,0
AQ,AQ,Antarctica,,,,,0
AR,AR,Argentina,,,,,0
AR_A,AR,Argentina,A,Salta,,,1
AR_A_007,AR,Argentina,A,Salta,7,Anta,2
AR_A_014,AR,Argentina,A,Salta,14,Cachi,2
AR_A_021,AR,Argentina,A,Salta,21,Cafayate,2
AR_A_028,AR,Argentina,A,Salta,28,Capital,2
AR_A_035,AR,Argentina,A,Salta,35,Cerrillos,2
AR_A_042,AR,Argentina,A,Salta,42,Chicoana,2
AR_A_049,AR,Argentina,A,Salta,49,General Güemes,2
AR_A_056,AR,Argentina,A,Salta,56,General José de San Martín,2
AR_A_070,AR,Argentina,A,Salta,70,Iruya,2
AR_A_077,AR,Argentina,A,Salta,77,La Caldera,2
AR_A_098,AR,Argentina,A,Salta,98,La Viña,2
AR_A_105,AR,Argentina,A,Salta,105,Los Andes,2
AR_A_112,AR,Argentina,A,Salta,112,Metán,2
AR_A_119,AR,Argentina,A,Salta,119,Molinos,2
AR_A_126,AR,Argentina,A,Salta,126,Orán,2
AR_A_133,AR,Argentina,A,Salta,133,Rivadavia,2
AR_A_140,AR,Argentina,A,Salta,140,Rosario de la Frontera,2
AR_A_147,AR,Argentina,A,Salta,147,Rosario de Lerma,2
AR_A_154,AR,Argentina,A,Salta,154,San Carlos,2
AR_A_161,AR,Argentina,A,Salta,161,Santa Victoria,2
AR_B,AR,Argentina,B,Buenos Aires Province,,,1
AR_B_007,AR,Argentina,B,Buenos Aires Province,7,Adolfo Alsina,2
AR_B_014,AR,Argentina,B,Buenos Aires Province,14,Adolfo Gonzales Chaves,2
AR_B_021,AR,Argentina,B,Buenos Aires Province,21,Alberti,2
AR_B_028,AR,Argentina,B,Buenos Aires Province,28,Almirante Brown,2
AR_B_035,AR,Argentina,B,Buenos Aires Province,35,Avellaneda,2
AR_B_042,AR,Argentina,B,Buenos Aires Province,42,Ayacucho,2
AR_B_049,AR,Argentina,B,Buenos Aires Province,49,Azul,2
AR_B_056,AR,Argentina,B,Buenos Aires Province,56,Bahía Blanca,2
AR_B_063,AR,Argentina,B,Buenos Aires Province,63,Balcarce,2
AR_B_070,AR,Argentina,B,Buenos Aires Province,70,Baradero,2
AR_B_077,AR,Argentina,B,Buenos Aires Province,77,Arrecifes,2
AR_B_084,AR,Argentina,B,Buenos Aires Province,84,Benito Juárez,2
AR_B_091,AR,Argentina,B,Buenos Aires Province,91,Berazategui,2
AR_B_098,AR,Argentina,B,Buenos Aires Province,98,Berisso,2
AR_B_105,AR,Argentina,B,Buenos Aires Province,105,Bolívar,2
AR_B_112,AR,Argentina,B,Buenos Aires Province,112,Bragado,2
AR_B_119,AR,Argentina,B,Buenos Aires Province,119,Brandsen,2
AR_B_126,AR,Argentina,B,Buenos Aires Province,126,Campana,2
AR_B_134,AR,Argentina,B,Buenos Aires Province,134,Cañuelas,2
AR_B_140,AR,Argentina,B,Buenos Aires Province,140,Capitán Sarmiento,2
AR_B_147,AR,Argentina,B,Buenos Aires Province,147,Carlos Casares,2
AR_B_154,AR,Argentina,B,Buenos Aires Province,154,Carlos Tejedor,2
AR_B_161,AR,Argentina,B,Buenos Aires Province,161,Carmen de Areco,2
AR_B_168,AR,Argentina,B,Buenos Aires Province,168,Castelli,2
AR_B_175,AR,Argentina,B,Buenos Aires Province,175,Colón,2
AR_B_182,AR,Argentina,B,Buenos Aires Province,182,Coronel Rosales,2
AR_B_189,AR,Argentina,B,Buenos Aires Province,189,Coronel Dorrego,2
AR_B_196,AR,Argentina,B,Buenos Aires Province,196,Coronel Pringles,2
AR_B_203,AR,Argentina,B,Buenos Aires Province,203,Coronel Suárez,2
AR_B_210,AR,Argentina,B,Buenos Aires Province,210,Chacabuco,2
AR_B_217,AR,Argentina,B,Buenos Aires Province,217,Chascomús,2
AR_B_224,AR,Argentina,B,Buenos Aires Province,224,Chivilcoy,2
AR_B_231,AR,Argentina,B,Buenos Aires Province,231,Daireaux,2
AR_B_238,AR,Argentina,B,Buenos Aires Province,238,Dolores,2
